File Name,Class Name,Object Number,Area,Centroid,BoundingBox
HN7_129.png,Slur,1,2416,"[3344.017, 5145.547]","[3093.735, 5076.489, 3594.298, 5214.605]"
HN7_129.png,Slur,2,2533,"[3638.041, 3834.19]","[3346.41, 3760.623, 3929.671, 3907.756]"
HN7_129.png,Slur,3,3579,"[3462.138, 1534.583]","[2884.923, 1427.238, 4039.354, 1641.927]"
HN7_129.png,Slur,4,572,"[1568.991, 3558.249]","[1326.711, 3463.611, 1811.271, 3652.886]"
HN7_129.png,Slur,5,1607,"[2157.076, 3395.502]","[1949.944, 3328.267, 2364.208, 3462.738]"
HN7_129.png,Slur,6,2154,"[1723.152, 4069.743]","[1478.733, 4025.61, 1967.57, 4113.876]"
HN7_129.png,Slur,7,1904,"[1010.91, 3644.718]","[794.41, 3593.682, 1227.41, 3695.754]"
HN7_129.png,Slur,8,1208,"[3084.758, 4491.417]","[2983.92, 4443.46, 3185.596, 4539.374]"
HN7_129.png,Slur,9,1556,"[3289.189, 3600.721]","[3086.738, 3561.957, 3491.64, 3639.485]"
HN7_129.png,Slur,10,4788,"[1240.216, 1777.553]","[727.581, 1699.124, 1752.851, 1855.982]"
HN7_129.png,Slur,11,1856,"[1927.298, 808.449]","[1697.568, 753.152, 2157.028, 863.746]"
HN7_129.png,Slur,12,1590,"[3873.949, 5103.758]","[3687.118, 5058.945, 4060.779, 5148.572]"
HN7_129.png,Slur,13,1013,"[912.577, 799.85]","[822.111, 756.007, 1003.043, 843.694]"
HN7_129.png,Slur,14,852,"[1162.643, 4059.521]","[1053.79, 4016.843, 1271.496, 4102.2]"
HN7_129.png,Slur,15,1354,"[3310.892, 630.844]","[3169.701, 581.468, 3452.082, 680.221]"
HN7_129.png,Slur,16,1284,"[1096.891, 4336.276]","[991.907, 4275.076, 1201.875, 4397.477]"
HN7_129.png,Slur,17,1730,"[2724.996, 3371.951]","[2540.536, 3325.087, 2909.456, 3418.816]"
HN7_129.png,Slur,18,2256,"[3007.188, 3807.559]","[2788.193, 3771.07, 3226.183, 3844.048]"
HN7_129.png,Slur,19,4038,"[3397.769, 1062.973]","[2955.55, 999.704, 3839.987, 1126.242]"
HN7_129.png,Slur,20,3018,"[3750.271, 2951.664]","[3462.69, 2903.702, 4037.853, 2999.627]"
HN7_129.png,Slur,21,3069,"[2411.21, 1585.791]","[2072.722, 1540.208, 2749.699, 1631.374]"
HN7_129.png,Slur,22,5367,"[2465.116, 5180.285]","[1938.44, 5133.298, 2991.792, 5227.272]"
HN7_129.png,Slur,23,1098,"[1813.383, 4282.134]","[1706.889, 4253.65, 1919.877, 4310.618]"
HN7_129.png,Slur,24,660,"[1450.977, 4298.719]","[1380.839, 4245.338, 1521.115, 4352.099]"
HN7_129.png,Slur,25,987,"[2795.31, 4914.025]","[2695.065, 4877.24, 2895.555, 4950.812]"
HN7_129.png,Slur,26,1164,"[2335.64, 617.727]","[2230.42, 590.317, 2440.861, 645.136]"
HN7_129.png,Slur,27,1960,"[2375.095, 3848.963]","[2151.925, 3815.836, 2598.265, 3882.091]"
HN7_129.png,Slur,28,1072,"[2549.37, 4868.283]","[2446.787, 4835.554, 2651.953, 4901.012]"
HN7_129.png,Slur,29,5147,"[1259.781, 5200.054]","[733.118, 5136.21, 1786.443, 5263.898]"
HN7_129.png,Slur,30,1945,"[2918.296, 2932.345]","[2715.837, 2897.29, 3120.755, 2967.401]"
HN7_129.png,Slur,31,1904,"[2752.403, 597.75]","[2544.301, 565.979, 2960.506, 629.522]"
HN7_129.png,Slur,32,640,"[1309.242, 782.823]","[1214.849, 743.253, 1403.634, 822.393]"
HN7_129.png,Slur,33,866,"[1780.302, 4729.103]","[1701.997, 4708.914, 1858.606, 4749.291]"
HN7_129.png,Slur,34,667,"[3750.035, 2519.303]","[3676.73, 2501.373, 3823.34, 2537.233]"
HN7_129.png,Slur,35,543,"[905.146, 3098.042]","[828.73, 3075.168, 981.563, 3120.916]"
